"You will be redirected to Adyen website when you place an order.","U wordt doorverwezen naar de Adyen website na het plaatsen van de order."
"%s ( Qty: %s ) (Price: %s %s ) <br />","%s ( Aantal: %s ) (Prijs: %s %s ) <br />"
"Adyen %s <br /> authResult: %s <br /> pspReference: %s","Adyen %s <br /> authResult: %s <br /> pspReference: %s"
"Adyen %s <br /> eventCode: %s <br /> pspReference: %s <br /> success: %s","Adyen %s <br /> eventCode: %s <br /> pspReference: %s <br /> success: %s"
"Adyen response(s): %s <br /> pspReference: %s","Adyen response(s): %s <br /> pspReference: %s"
"Authorize Only","Alleen autoriseren"
"Authorize and Capture","Autoriseren en innen"
"Can not connect payment service. Please try again later.","Kan geen contact maken met de betaalservice, probeer het later nog eens."
"Capture Mode set to Manual","Capture Mode is ingesteld op Handmatig"
"Customer was redirected to Adyen.","De klant werd doorgestuurd naar Adyen"
"Order can not Hold","Order kan niet worden vastgehouden"
"Order can not be canceled","Order kan niet worden geannuleerd"
"Order rows: <br />","Order regels: <br />"
"Shipment cost: %s %s <br />","Verzendkosten: %s %s <br />"
"System error, please try again later","Systeemfout, probeer het later nog eens"
"System error, please try again later: %s","Systeemfout, probeer het later nog eens: %s"
"The payment is REFUSED by Adyen.","Uw betaling is geweigerd door Adyen"
"You will be redirected to Adyen in a few seconds.","U wordt binnen een paar seconden doorgestuurd naar Adyen"
"Your payment failed, Please try again later","Uw betaling is mislukt, probeer het later nog eens"
"--Please Select--","--Maak een keuze--"
"Account Number","Rekeningnummer"
"Account holder name","Rekeninghouder"
"Account holder: %s","Rekeninghouder: %s"
"Account number: xxx%s","Rekeningnummer: xxx%s"
"Bank Location","Locatie bank"
"Bank Location (City)","Locatie bank (Plaats)"
"Bank Location ID","Locatie bank ID"
"Bank Name","Naam van de bank"
"Bank code: %s","Bank code: %s"
"Bank name: %s","Naam van de bank: %s"
"Card Verification Number","Verificatie nummer van de creditcard"
"Credit Card Number","Creditcard nummer"
"Credit Card Number: xxxx-%s","Creditcard nummer: xxx-%s"
"Credit Card Type","Creditcard type"
"Credit Card Type: %s", "Creditcard Type: %s"
"Expiration Date","Vervaldatum"
"Expiration Date: %s/%s","Vervaldatum: %s/%s"
"Name on Card","Naam zoals weergegeven op de creditcard"
"Name on the Card: %s","Naam zoals weergegeven op de creditcard: %s"
"Payment Method: %s","Betaal methode: %s"
"Submitting payment information...","Verzenden betaal informatie..."
"What is this?","Wat is dit?"
"Order email sent to shopper.","Order-email is naar de klant verzonden."
"The payment is PENDING by Adyen.","U heeft nog niet betaald volgens Adyen."
"The payment is AUTHORIZED by Adyen.","Uw betaling is geautoriseerd door Adyen."
"There has an error occurred with your Adyen payment.","Er is een fout opgetreden bij uw Adyen betaling."
"There was an error with your payment.","Er is een fout opgetreden bij uw betaling."
"You will be redirected to Adyen website when you place an order.","U wordt doorgestuurd naar Adyen na het plaatsen van de order."
"Your payment is cancelled.","Uw betaling is geannuleerd."
"Your payment is CANCELLED","Uw betaling is GEANNULEERD"
"Your payment is pending.","U heeft nog niet betaald."
"Your payment is refused.","Uw betaling is geweigerd."
"Your payment is authorized.","Uw betaling is geautoriseerd."
